movies_titles,ratings,vote,year,duration,certification,Description
1. The Shawshank Redemption,9.3,3M,1994,2h 22m,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
2. Star Wars: Episode IV - A New Hope,8.6,1.5M,1977,2h 1m,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
3. The Dark Knight,9.0,3M,2008,2h 32m,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
4. Inception,8.8,2.7M,2010,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
5. Interstellar,8.7,2.3M,2014,2h 49m,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
6. The Godfather,9.2,2.1M,1972,2h 55m,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
7. Top Gun: Maverick,8.2,775K,2022,2h 10m,PG-13,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
8. Gladiator,8.5,1.8M,2000,2h 35m,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
9. Oppenheimer,8.3,891K,2023,3h,R,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
10. Pulp Fiction,8.9,2.3M,1994,2h 34m,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
11. Inglourious Basterds,8.4,1.7M,2009,2h 33m,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
12. The Lord of the Rings: The Fellowship of the Ring,8.9,2.1M,2001,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
13. Dune: Part Two,8.5,630K,2024,2h 46m,PG-13,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
14. Goodfellas,8.7,1.3M,1990,2h 25m,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
15. The Silence of the Lambs,8.6,1.6M,1991,1h 58m,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
16. The Wolf of Wall Street,8.2,1.7M,2013,3h,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
17. Schindler's List,9.0,1.5M,1993,3h 15m,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
18. Avengers: Endgame,8.4,1.4M,2019,3h 1m,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
19. Fight Club,8.8,2.5M,1999,2h 19m,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
20. The Wild Robot,8.2,168K,2024,1h 42m,PG,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
21. Se7en,8.6,1.9M,1995,2h 7m,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
22. Parasite,8.5,1.1M,2019,2h 12m,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
23. Back to the Future,8.5,1.4M,1985,1h 56m,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
24. Star Wars: Episode V - The Empire Strikes Back,8.7,1.4M,1980,2h 4m,PG,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
25. The Truman Show,8.2,1.3M,1998,1h 43m,PG,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
